Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Чміль,Юстим,Іванович,Чоловік,07.09.2001,Історик,село Залізне,"набережна Левадна, буд. 3, Жмеринка, 53927",+380 (29) 262-35-16,iatsenkomartyn@example.net
Пилипенко,Мілена,Несторівна,Жінка,03.06.1938,Ді-джей,хутір Пирятин,"шосе Станційна 2-га, буд. 684, Чугуїв, 24000",035 510 45 64,ihorishchenko@example.org
Єсипенко,Камілла,Георгіївна,Жінка,24.06.2008,М'ясник,село Сквира,"сквер Восьмого Березня Лінія 2-га, буд. 4 кв. 836, Косів, 78594",401 94 70,varkhypenko@example.net
Супруненко,Златослава,Лукʼянівна,Жінка,06.07.1948,Машиніст,хутір Вилкове,"сквер Змієнка Всеволода, буд. 0 кв. 7, Путивль, 43927",+380 97 436-95-41,olhapanchuk@example.com
Лесик,Олекса,Стефанович,Чоловік,26.09.1949,Диригент,село Сімферополь,"вулиця Східчастий 4-й, буд. 30 кв. 874, Нововолинськ, 17526",428 38 96,leopold96@example.org
Юрчишин,Аарон,Климентович,Чоловік,20.02.2004,Паблік рилейшнз,село Білозерське,"шосе Дмитрія Донського, буд. 90 кв. 67, Зборів, 69790",+380 34 930-14-93,kharchenkovadym@example.com
Ірванець,Леонтій,Данилович,Чоловік,10.08.2006,Піаніст,село Боярка,"провулок Університетський, буд. 785 кв. 843, Ромни, 75096",068 822 00 07,solomiiaievtushok@example.net
Верменич,Юстина,Дмитроівна,Жінка,06.03.1969,Підприємець,село Харків,"вулиця Різовська, буд. 22, Валки , 34895",+380 (57) 090-86-21,larysaartymovych@example.org
Авраменко,Володимир,Федірович,Чоловік,17.06.1970,Нотаріус,село Тетіїв,"сквер Амундсена, 3-й, буд. 9, Кам'янка-Дніпровська, 55485",021 924-00-16,tkorbut@example.org
Бевзенко,Валентина,Мирославівна,Жінка,04.03.1947,Психолог,хутір Гола Пристань,"провулок Братів Поджіо, буд. 26 кв. 9, Алмазна, 16210",+380 39 364-64-52,wrudyk@example.org
Захаренко,Святослава,Мирославівна,Жінка,15.11.1940,Випробувач,хутір Новогродівка,"парк Дунаєва, буд. 6 кв. 9, Сміла, 88411",+380 (66) 692-27-04,myroslavlemeshko@example.org
Данько,Олена,Леонівна,Жінка,12.11.1946,Стоматолог,село Горлівка,"шосе Желябова, буд. 48 кв. 008, Часів Яр, 62587",026 898 50 82,irynachumak@example.org
Гук,Едуард,Лесьович,Чоловік,05.01.1992,Дипломат,селище Куп'янськ,"парк Героїв Крут, буд. 02, Південне , 34939",025-75-80,zatulazynovii@example.net
Єременко,Василина,Леонтіївна,Жінка,12.08.1970,Бібліограф,хутір Липовець,"сквер Стороженка Олега, буд. 81, Монастириська, 34440",072 133 57 05,mykhailo94@example.org
Чайка,Богданна,Трохимівна,Жінка,24.06.1975,Гицель,село Шостка,"сквер Травневий 3-й, буд. 54 кв. 317, Сарни, 04208",+380 34 668-51-44,emykhailychenko@example.org
Артюх,Орина,Іванівна,Жінка,05.08.2006,Фольклорист,хутір Українськ,"вулиця Калнишевського Петра, буд. 48, Бунге , 25347",+380 27 890-97-42,stepangerega@example.net
Давиденко,Тетяна,Романівна,Жінка,09.09.1991,Льотчик,хутір Стебник,"площа Шухевича Романа, буд. 959 кв. 45, Рогатин, 25087",+380 60 195-39-64,vasylevychvalentyn@example.org
Ляшко,Герман,Ігнатович,Чоловік,08.04.1976,Головний меркшейдер,село Берислав,"набережна Лінія 46-та, буд. 3, Чугуїв, 50065",+380 98 672 20 88,ieva37@example.net
Шеремета,Венедикт,Алевтинович,Чоловік,28.07.1998,Інженер,селище Покровськ,"площа Варненська, буд. 188 кв. 223, Нікополь, 91322",+380 37 554 19 14,jprytula@example.com
Забашта,Геннадій,Орхипович,Чоловік,09.03.1998,Ботанік,місто Кремінна,"провулок Красносільська, буд. 48, Алчевськ, 38772",643-51-45,kabanenkobohuslav@example.net
Зайченко,Марʼяна,Леонівна,Жінка,08.07.2003,Фрілансер,село Дубровиця,"вулиця Лиманчик 2-й Лінія 4-та, буд. 9, Збараж, 41236",+380 61 660-62-66,symon46@example.net
Литвин,Пріска,Глібівна,Жінка,26.01.1961,Живописець,село Рівне,"парк Балтський 1-й, буд. 4, Сіверськ, 90341",+380 20 345 45 19,andrusenkoklyment@example.org
Даньків,Галина,Йосипівна,Жінка,14.12.1983,Водій,село Тиврів,"набережна Республіканська, буд. 240, Первомайський , 83013",+380 26 210 30 99,larysa04@example.net
Савенко,Світлана,Борисівна,Жінка,10.03.1954,Клоун,село Ромни,"вулиця Волоколамська, буд. 06, Сокиряни, 69298",+380 77 214-53-20,ielyseidanchuk@example.org
Носаченко,Еріка,Орестівна,Жінка,13.12.1951,Дипломат,село Новоазовськ,"провулок Чапаєва, буд. 1, Ковель, 74061",+380 (72) 524-92-22,nehodapriska@example.net
Лазаренко,Людмила,Вʼячеславівна,Жінка,17.06.1956,Фармацевт,хутір Олевськ,"парк Косовська, буд. 10, Яготин, 69454",+380 62 178-40-49,avdieienkomyron@example.com
Короленко,Борис,Трохимович,Чоловік,07.11.1991,Льотчик,селище Авдіївка,"провулок Академічна, буд. 31 кв. 956, Українка , 61578",397-31-06,iustyna06@example.net
Ватаманюк,Василина,Веніяминівна,Жінка,28.01.1953,Бухгалтер,місто Новояворівськ,"парк Костанді 3-й, буд. 02, Бережани, 14727",+380 96 490 53 20,karmaliukzynovii@example.net
Годунок,Ігнат,Феофанович,Чоловік,20.03.2000,Гінеколог,місто Фастів,"провулок Каспійський, буд. 78 кв. 9, Христинівка, 38762",081 553 79 51,serhiiabramenko@example.org
Фоменко,Маруся,Богодарівна,Жінка,13.01.1958,Клоун,селище Олевськ,"шосе Палубна, буд. 31 кв. 21, Герца, 30199",540 40 59,vashchenkobohuslav@example.net
Деряжний,Аврелій,Веніяминович,Чоловік,18.02.1993,Астрофізик,селище Хирів,"провулок Ніжинська, буд. 926 кв. 2, Яготин, 59465",+380 78 293-71-62,dupliiarsen@example.com
Прокопович,Вадим,Іванович,Чоловік,07.11.1960,Державний службовець,місто Тараща,"набережна Восьмого березня 6-й, буд. 2, Вишневе , 79755",982 66 34,onysymmazur@example.org
Цісик,Ярина,Романівна,Жінка,07.04.1978,Конструктор,селище Тетіїв,"парк Матроська Слобідка, буд. 0 кв. 2, Бахмут, 12170",788 71 12,ustympanchuk@example.org
Голик,Ліза,Германівна,Жінка,11.02.1941,Редактор,село Євпаторія,"набережна Космонавтів, буд. 5 кв. 47, Тараща, 14967",+380 (44) 499-00-20,vbevzenko@example.net
Цибуленко,Мілена,Євгенівна,Жінка,29.09.1967,Ювелір,село Вовчанськ,"сквер Лінія 49-та, буд. 920 кв. 7, Приморськ (Україна), 37307",024 357 78 62,lazarenkodanna@example.com
Шаповал,Клавдія,Григоріївна,Жінка,11.10.1960,Палеонтолог,хутір Баранівка,"провулок Локальна, буд. 080, Яремче, 92330",+380 (97) 359-98-15,varfolomii88@example.com
Михайлюк,Герман,Ілляович,Чоловік,01.04.1962,Співак,село Борзна,"сквер 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 1 кв. 8, Бахмут, 28289",+380 20 132 29 18,zabaradaryna@example.com
Яремко,Одарка,Стефанівна,Жінка,26.07.1968,Випробувач,хутір Могилів-Подільський,"парк Ткачова, буд. 6 кв. 62, Липовець, 16154",+380 64 710-17-10,veresaaron@example.com
Фастенко,Соломія,Валентинівна,Жінка,30.12.1971,Геофізик,хутір Ніжин,"сквер Бахчева, буд. 842, Бахмач, 75177",+380 10 175-29-63,irubets@example.net
Ажажа,Геннадій,Яремаович,Чоловік,01.04.2004,Економіст,хутір Борщів,"набережна Балтський 5-й, буд. 4, Сквира, 11284",+380 74 090-60-28,baidakihnat@example.com
Примаченко,Борислав,Костянтинович,Чоловік,23.04.1972,Актор,селище Новодружеськ,"сквер Мала Арнаутська, буд. 1 кв. 09, Березань , 31364",+380 (31) 116-06-05,ierchenkoklavdiia@example.com
Ейбоженко,Марʼяна,Гаврилоівна,Жінка,18.01.1950,Епідеміолог,село Погребище,"узвіз Артилерійська, буд. 08 кв. 905, Чернігів, 77896",237 27 61,tgoliash@example.org
Твердохліб,Юстим,Владиславович,Чоловік,09.04.1978,Живописець,село Шаргород,"сквер Ушакова, буд. 593 кв. 0, Білопілля, 54580",016 431-63-93,hresveniiamyn@example.org
Батюк,Едита,Пантелеймонівна,Жінка,09.05.1995,Геофізик,місто Торецьк,"проспект Латвійський узвіз, буд. 124, Молодогвардійськ, 71382",878-62-78,husyk@example.net
Лагода,Тетяна,Васильівна,Жінка,14.06.1946,Ветеринар,хутір Привілля,"площа Прохоровський, буд. 417, Нетішин, 64295",+380 (39) 406-40-27,mshovkoplias@example.net
Дубенко,Сніжана,Микитївна,Жінка,04.01.1940,Співак,село Лисичанськ,"вулиця Пестеля, буд. 1, Долина , 28385",725 99 81,irynaiakovenko@example.com
Ващенко-Захарченко,Пантелеймон,Артемович,Чоловік,30.04.1943,Петрограф,місто Гірник ,"узвіз Академіка Богатського, буд. 876, Березівка, 60901",+380 43 902-36-59,martyn76@example.com
Іваненко,Марʼяна,Леонівна,Жінка,23.09.1942,Льотчик,селище Володимир-Волинський,"проспект Суперфосфатна, буд. 54 кв. 800, Новий Розділ, 48384",052 780-94-25,zlatoslava90@example.com
Калениченко,Надія,Мирославівна,Жінка,07.05.1991,Випробувач,село Конотоп,"сквер Травневий 5-й, буд. 73 кв. 745, Вилкове, 48015",+380 68 732-58-78,levkokarpa@example.net
Авраменко,Софія,Назарівна,Жінка,09.05.1941,Няня,селище Чоп,"провулок Дюківська, буд. 59 кв. 412, Першотравенськ, 45132",+380 74 044 52 85,liliia43@example.com
Колесниченко,Соломон,Георгійович,Чоловік,26.03.2007,Лікар,хутір Токмак,"проспект Баштанна, буд. 568, Славута, 15142",915-51-18,hlib69@example.org
Журавель,Данна,Григоріївна,Жінка,12.12.2005,Фермер,хутір Алмазна,"вулиця Мукачівський, буд. 60 кв. 6, Феодосія, 51618",969 42 83,vverhun@example.com
Шутько,Георгій,Прохірович,Чоловік,15.10.1944,Єгер,хутір Берислав,"шосе Будівельна, буд. 1 кв. 715, Кам'янське, 37462",898 77 49,iarema01@example.org
Титаренко,Тетяна,Парменівна,Жінка,21.05.1964,Літературознавець,хутір Кіцмань,"вулиця Естафетна, буд. 713, Чоп, 09069",059 119 31 72,markoshukhevych@example.com
Артюх,Розалія,Авреліївна,Жінка,21.06.1990,Публіцист,хутір Саки ,"сквер Учительський, буд. 54, Корюківка, 72986",+380 76 067-35-15,arsenadamenko@example.org
Дахно,Остап,Леонтійович,Чоловік,21.09.1962,Зоолог,село Золотоноша,"площа Ползунова 2-й, буд. 6 кв. 00, Дрогобич, 19611",037 179 92 17,ckaras@example.com
Артим,Розалія,Олексївна,Жінка,29.06.1998,Інженер,місто Нововолинськ,"площа Соляний 2-й, буд. 609 кв. 77, Білопілля, 30515",843-44-80,kromanchuk@example.com
Романець,Богдан,Давидович,Чоловік,08.06.1974,Графік,селище Зборів,"провулок Локомотивна, буд. 7 кв. 4, Зборів, 70312",003 182-67-75,masaula@example.net
Левченко,Артем,Спасович,Чоловік,18.12.1959,Фармацевт,хутір Заліщики,"сквер Косвена, буд. 771 кв. 2, Малин, 19210",068 73 35,viktoriia57@example.org
Ґерус,Орися,Миронівна,Жінка,20.05.1980,Графік,місто Галич,"площа Селекційна, буд. 6 кв. 917, Путивль, 60853",+380 99 099-80-75,dmytro46@example.net
Колісниченко,Тарас,Михайлович,Чоловік,03.03.1993,Прокурор,місто Федорівка,"сквер Учительський, буд. 24 кв. 085, Джанкой, 29678",+380 (66) 882-01-24,wbairak@example.com
Яременко,Олег,Августинович,Чоловік,13.02.1955,Сантехнік,хутір Ананьїв,"сквер Петра Лещенка, буд. 70, Бахмут, 18721",421-30-49,iukhymenkovarvara@example.net
Аронець,Алла,Охрімівна,Жінка,03.06.1959,Льотчик,хутір Старокостянтинів,"парк Лізи Чайкіної, буд. 040, Рахів, 68770",008 896-95-64,nestorhavryshkevych@example.net
Мазур,Ілля,Назарович,Чоловік,29.05.2000,Реставратор,село Гуляйполе,"парк Нова, буд. 9 кв. 609, Волочиськ, 76758",+380 (64) 771-52-69,wbezditko@example.com
Дейнеко,Олег,Назарович,Чоловік,14.09.1966,Архітектор,місто Мирноград,"узвіз Красних Зорь, буд. 03, Синельникове, 82861",400 34 42,antonisaievych@example.com
Гавриш,Орина,Тарасівна,Жінка,09.01.2004,Слідчий,місто Немирів,"вулиця Андрійця Олега, буд. 8 кв. 8, Феодосія, 81840",469 20 99,nhaievskyi@example.com
Зарудний,Ростислав,Валерійович,Чоловік,21.12.1940,Ветеринар,місто Жовті Води,"узвіз Шовкуненка, буд. 2 кв. 26, Ковель, 97824",+380 34 416-46-56,spasbabychenko@example.org
Дейнеко,Владислав,Йосипович,Чоловік,10.09.1997,Історик,місто Пустомити,"вулиця Віри Холодної, буд. 94, Білозерське, 99808",092 413 29 89,myroslav70@example.com
Харченко,Валентина,Євгенівна,Жінка,03.01.1951,Випробувач,хутір Біла Церква,"сквер Київське, буд. 035 кв. 134, Вільногірськ, 97289",+380 16 581-57-55,amaliiazarudnyi@example.com
Бездітко,Олесь,Соломонович,Чоловік,27.09.1945,Режисер,місто Білогірськ,"парк Діхтієвського Віктора, буд. 89 кв. 13, Єнакієве, 96153",035 901-69-84,mamchursymon@example.com
Влох,Станіслав,Яремаович,Чоловік,20.06.1973,Детектив,хутір Герца,"вулиця Севастопольський, буд. 110, Вижниця, 84680",+380 95 633-43-64,saienkoorest@example.com
Ґжицький,Ганна,Венедиктівна,Жінка,30.10.1974,Філолог,місто Вознесенськ,"шосе Соляний 3-й, буд. 6, Єнакієве, 95937",+380 76 901-02-45,inazarenko@example.net
Сімашкевич,Едита,Леонтіївна,Жінка,18.08.1991,Клоун,хутір П'ятихатки,"вулиця Горбиста, буд. 66 кв. 914, Коломия, 53482",064 430 99 62,huziiolha@example.com
Михайличенко,Адам,Богданович,Чоловік,25.04.1963,Мовознавець,хутір Тисмениця,"набережна Лінія 33-тя, буд. 73 кв. 307, Тернопіль, 01065",+380 32 413-53-15,chubaiorest@example.net
Саченко,Тереза,Єлисеївна,Жінка,06.03.1966,Географ,село Молочанськ,"узвіз Український 1-й, буд. 482 кв. 32, Географія Вільнянська, 06907",+380 (17) 795-96-89,zmykhailiuk@example.com
Ковпак,Давид,Богодарович,Чоловік,12.04.1998,Науковець,селище Макіївка,"парк Нафтовиків, буд. 443, Мукачево, 22132",+380 96 325 34 62,telychenkostanislav@example.com
Чуйко,Марта,Данилоівна,Жінка,02.02.1991,Маркетолог,місто Південне ,"узвіз Лиманчик 2-й Лінія 3-тя, буд. 35, Дергачі, 17259",+380 (84) 083-84-04,sshakhrai@example.org
Жарко,Станіслав,Гордійович,Чоловік,15.08.1959,Педагог,селище Турка,"набережна Вапняна, буд. 18 кв. 4, Ямпіль, 69890",012 727 52 90,vadym78@example.com
Мазепа,Веніямин,Богуславович,Чоловік,27.03.1940,Економіст,селище Моспине,"набережна Бузкова, буд. 9 кв. 421, Рогатин, 94634",231 52 71,semen83@example.net
Оніщук,Адам,Аркадійович,Чоловік,17.05.1943,Фармацевт,хутір Дніпрорудне,"площа Слави, буд. 548 кв. 3, Хорол , 81728",955 78 03,levchenkovalentyn@example.net
Тимчук,Єлисавета,Леонівна,Жінка,17.12.1938,Композитор,хутір Борщів,"площа 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 8 кв. 9, Берегове, 30936",+380 (12) 180-82-91,kyrylo66@example.net
Саченко,Ірина,Алевтинівна,Жінка,17.03.1968,Швачка,хутір Вознесенівка,"набережна Білоруська, буд. 5 кв. 818, Красноград, 77620",+380 (47) 712-36-67,iurchyshyniryna@example.com
Скоробогатько,Наталія,Федірівна,Жінка,05.01.1943,Бібліограф,місто Берестечко,"сквер Нова, буд. 5 кв. 423, Берегове, 97482",920-28-06,lukianhohol-ianovskyi@example.org
Дрозденко,Аліна,Кирилоівна,Жінка,15.05.2000,Антрополог,хутір Бережани,"сквер Пушкінська, буд. 677, Інкерман, 06661",+380 75 356-71-19,iryna69@example.net
Андрієвич,Соломон,Павлович,Чоловік,27.07.1983,Модельєр,хутір Покров,"сквер Зої Космодем’янської, буд. 429, Гайсин, 30142",496-35-22,babiakalbert@example.com
Андрійович,Марта,Вʼячеславівна,Жінка,21.04.2005,Гінеколог,село Олешки,"парк Балтський 8-й, буд. 344 кв. 20, Соледар, 77968",616-70-89,tsybulenkoihnat@example.com
Єрченко,Орися,Францівна,Жінка,25.02.2005,Єгер,місто Заставна,"сквер Старосінна, буд. 979 кв. 283, Зеленодольськ, 99259",004 330 87 36,qshylo@example.net
Заруба,Давид,Сергійович,Чоловік,24.05.1973,Паралегал,хутір Севастополь,"шосе Чорноморський 1-й, буд. 42 кв. 552, Голубівка, 97541",061 776-07-87,khomaatamaniuk@example.com
Андріїшин,Ігнат,Васильович,Чоловік,10.07.1983,Конструктор,хутір Носівка,"парк Комітетська, буд. 328, Жовті Води, 96824",001 762-25-77,mmatviienko@example.org
Удовиченко,Роксолана,Бориславівна,Жінка,27.07.1939,Перекладач,місто Волочиськ,"сквер Академіка Заболотного, буд. 85, Копичинці, 62179",422 96 08,arkadii78@example.org
Дерегус,Варвара,Зиновіївна,Жінка,06.03.1952,Гицель,хутір Могилів-Подільський,"площа Корнюшина, буд. 218, Святогірськ, 02053",+380 56 372 87 33,ihor70@example.net
Батіг,Соломія,Богданівна,Жінка,31.05.1949,Фольклорист,селище Лутугине,"вулиця Танкістів, буд. 573 кв. 0, Перевальськ, 89025",033 859 24 08,opoltavets@example.net
Ващук,Еріка,Адамівна,Жінка,29.07.1989,Дипломат,місто Красилів,"площа Привокзальна, буд. 8, Дружківка, 31819",137-03-35,albertsmyk@example.org
Худяк,Лариса,Єлисеївна,Жінка,09.07.1970,Мистецтвознавець,місто Гірське,"проспект Яблунева, буд. 077, Нова Каховка, 91609",+380 83 067-81-83,lopanasenko@example.com
Кабаненко,Орина,Олесьівна,Жінка,03.02.1948,Мінералог,село Іловайськ,"проспект Дунаєва, буд. 4 кв. 329, Ромни, 08485",+380 (26) 322-79-07,chabanfrants@example.org
Іваничук,Леон,Святославович,Чоловік,24.01.1994,Головний меркшейдер,селище Коломия,"площа Воронцовський, буд. 0, Христинівка, 95206",097 288-12-93,borystarasenko@example.com
Балабан,Ігнат,Олесьович,Чоловік,20.01.1954,Клавішник,селище Кагарлик,"шосе Дворянська, буд. 31 кв. 95, Середина-Буда, 16323",+380 (54) 208-42-75,klavdiiaieshchenko@example.net
Єрошенко,Маруся,Соломонівна,Жінка,19.05.1952,Фармацевт,селище Підгайці,"площа Локомотивна, буд. 75 кв. 9, Хмільник, 55938",357 90 35,petroaleksiichuk@example.net
Шамрай,Еріка,Геннадіївна,Жінка,14.03.1963,Юрист,хутір Кагарлик,"проспект Юрженка Олександра, буд. 775 кв. 432, Немирів, 47688",668 25 60,datsenkoopanas@example.com
Андрійчук,Остап,Ігнатович,Чоловік,05.11.2002,Бухгалтер,селище Калуш,"площа Високий, буд. 120 кв. 370, Кам'янське, 56747",922 69 53,veniiamyn58@example.net
Гузій,Спас,Гаврилович,Чоловік,28.03.1946,Державний службовець,село Гола Пристань,"вулиця Промисловий, буд. 37 кв. 97, Арциз, 41427",014 713-26-74,martyn39@example.com
Ґалаґан,Богуслав,Зиновійович,Чоловік,02.10.1999,Промисловець,хутір Мирноград,"проспект Агрономічний, буд. 5, Новий Буг, 30424",535-13-43,xdatsiuk@example.org
Бгиденко,Єва,Устимівна,Жінка,31.01.1971,Візажист,село Тростянець,"сквер Вірського, буд. 75, Дубляни, 21356",903-17-78,iaroslavashapoval@example.org
Литвиненко,Данна,Костянтинівна,Жінка,09.08.1990,Дантист,село Мерефа,"проспект Складська, буд. 74, Довжанськ, 88201",032 370-23-03,andriishynmarta@example.org
Затула,Клавдія,Симонівна,Жінка,14.05.1992,Парфюмер,селище Прип'ять ,"провулок Творча, буд. 96, Верхньодніпровськ, 86012",036 055-73-98,zhuraveldaryna@example.com
Бебешко,Артем,Августинович,Чоловік,21.03.1987,Музикант,селище Сіверськ,"площа Стєклова, буд. 224 кв. 98, Добромиль, 79846",+380 (57) 579-39-31,tymofii44@example.com
Байда,Людмила,Андріївна,Жінка,08.10.1940,Електрик,хутір Яготин,"шосе Пiвденний, буд. 7, Вижниця, 89806",+380 (18) 434-76-57,qzabarnyi@example.net
Тесля,Кирило,Андрійович,Чоловік,26.07.1941,Машиніст,село Макіївка,"провулок Новощіпний ряд, буд. 0, Буча, 60919",595 97 99,violetta61@example.net
Джунь,Ігор,Соломонович,Чоловік,25.11.1993,Гірник,місто Слов'янськ,"площа Лузанівська, буд. 72, Борзна, 63204",+380 (99) 068-54-30,dan04@example.net
Рубець,Маруся,Алевтинівна,Жінка,10.10.2005,Льотчик,селище Генічеськ,"узвіз Чорноморський 8-й, буд. 559, Сорокине, 55367",001 502 11 63,symonlytvynenko@example.net
Шелест,Валентина,Едуардівна,Жінка,16.12.1967,Євнух,селище Золотоноша,"узвіз Західний 3-й, буд. 479, Чернігів, 98722",+380 12 518-78-63,ievakovaliuk@example.net
Ґерус,Леонід,Васильович,Чоловік,20.08.1941,Доцент,місто Долинська,"проспект Гагаріна, буд. 69, Амвросіївка, 74827",+380 (56) 834-42-09,vnesterenko@example.org
Гайдабура,Лесь,Климентович,Чоловік,15.08.1970,Геолог,хутір Перещепине,"набережна Виноградна 3-тя, буд. 15 кв. 965, Красноперекопськ, 69156",923-81-71,pkhorishko@example.com
Матвієнко,Трохим,Хомаович,Чоловік,14.08.1957,Філолог,хутір Алчевськ,"парк Академіка Вільямса, буд. 976, Шпола, 83055",419-16-85,tereza45@example.org
Андрійчук,Азар,Семенович,Чоловік,18.05.2002,Філолог,село Герца,"вулиця Хімічний 2-й, буд. 688 кв. 83, Апостолове, 86598",055 577 69 56,teodorderkach@example.net
Забарний,Борислав,Єлисейович,Чоловік,16.11.1948,Астронавт,село Соснівка ,"шосе Краснова, буд. 160 кв. 372, Старий Крим, 07519",045 595-72-05,gzubko@example.org
Баран,Хома,Азарович,Чоловік,12.07.1950,Паралегал,селище Самбір,"площа Академіка Вільямса, буд. 90, Овруч, 30308",+380 87 141 09 23,martynprokopovych@example.net
Тарасенко,Орися,Ігнатівна,Жінка,25.08.1939,Геофізик,хутір Семенівка,"сквер Зелена, буд. 0 кв. 09, Миколаївка , 54093",063 674-92-76,ihor60@example.com
Запорожець,Борис,Юхимович,Чоловік,03.04.1943,Фотограф,хутір Борислав,"вулиця Вишневий, буд. 18, Курахове, 46060",069 135 76 60,adaadamenko@example.org
Цюцюра,Одарка,Михайлоівна,Жінка,09.02.1956,Мистецтвознавець,селище Федорівка,"сквер Дев’ята, буд. 439 кв. 359, Бердянськ, 37072",+380 98 223-60-01,ievarudko@example.org
Удовиченко,Єфрем,Ігорович,Чоловік,24.01.1948,Євнух,село Рожище,"узвіз Прорізний, буд. 748 кв. 42, Хотин, 70378",+380 77 980-99-94,udutka@example.net
Андріїшин,Данило,Хомаович,Чоловік,29.03.1949,Няня,село Тетіїв,"площа Васнецова, буд. 7, Решетилівка, 86414",+380 57 161-61-97,prokhirgerus@example.org
Мірошниченко,Ганна,Захарівна,Жінка,02.12.1967,Історик,селище Долина ,"узвіз Ковиловий, буд. 799 кв. 19, Новий Розділ, 23374",+380 13 716 09 90,rvakarchuk@example.net
Палій,Борислав,Петрович,Чоловік,09.10.1940,Ріелтор,хутір Новоград-Волинський,"узвіз Сєрова, буд. 86, Тетіїв, 86230",204-10-72,danvakulenko@example.org
Наливайко,Аарон,Мирославович,Чоловік,03.02.1976,Євнух,село Новодружеськ,"узвіз Гвардійська, буд. 92 кв. 6, Вуглегірськ, 58821",+380 23 591 84 59,geregavasyl@example.org
Мірошниченко,Ірина,Адамівна,Жінка,07.03.1963,Науковець,хутір Нове Давидково,"шосе Житомирський 4-й, буд. 957 кв. 0, Богуслав, 90147",+380 06 523-12-94,okhrimenkovladyslav@example.com
Забара,Тимофій,Яремаович,Чоловік,14.07.1959,Математик,селище Березівка,"шосе Луганська, буд. 30, Шостка, 70100",803-33-45,ievakozachenko@example.org
Демиденко,Розалія,Валеріївна,Жінка,26.08.1987,Паралегал,місто Люботин,"шосе Професора Каришковського, буд. 86 кв. 913, Помічна, 56183",+380 (63) 783-93-30,orynabevz@example.com
Дзиндра,Роксолана,Яремївна,Жінка,09.12.2002,Штукатур,хутір Сторожинець,"площа Романтичний, буд. 840, Шаргород, 21769",092 140 97 28,iurchyshynvasylyna@example.com
Юрченко,Марко,Яремаович,Чоловік,07.10.1938,Кінолог,село Торецьк,"сквер Книжковий, буд. 5, Гайсин, 87959",044 960 44 17,iukhym76@example.org
Шутько,Камілла,Гаврилоівна,Жінка,12.07.1991,Юрист,селище Червоноград,"парк Лузанівка, буд. 16 кв. 09, Полтава, 59821",+380 68 413-81-00,sperepelytsia@example.com
Засенко,Віктор,Романович,Чоловік,21.05.1944,Педагог,хутір Приморськ (Україна),"сквер Польський узвіз, буд. 270 кв. 7, Федорівка, 08535",926-06-90,roman11@example.org
Щириця,Златослава,Маркоівна,Жінка,22.12.1971,Електромонтер,місто Каховка,"вулиця Ланжеронівська, буд. 93 кв. 33, Славутич, 17094",+380 95 189-22-75,orkhyparkhypenko@example.org
Овчаренко,Христина,Гаврилоівна,Жінка,28.02.1963,Петрограф,хутір Глобине,"площа Балтський 7-й, буд. 49 кв. 369, Географія Вільнянська, 75899",052 352 06 10,dashkevychiustym@example.org
Гунько,Єлисей,Тарасович,Чоловік,06.07.1940,Різноробочий,селище Корсунь-Шевченківський,"площа Тетяни Тесс, буд. 9 кв. 464, Дубровиця, 85336",+380 63 624-59-79,vasylkorolenko@example.com
Теліженко,Спас,Богданович,Чоловік,19.10.1996,Клоун,село Українка ,"узвіз Шоста, буд. 41, Рава-Руська, 06100",265-01-53,babaksviatoslav@example.org
Акименко,Стефан,Богуславович,Чоловік,21.11.1974,Науковець,село Мелітополь,"узвіз Дачний 1-й, буд. 901 кв. 2, Луганськ, 25744",778 58 17,atamaniukdemyd@example.net
Андрейко,Миколай,Адамович,Чоловік,28.03.1959,Геолог,село Приморськ (Україна),"узвіз Дунаєвського 3-й, буд. 16 кв. 84, Олександрія, 35033",056 988-33-57,wchupryna@example.com
Яценко,Тимофій,Володимирович,Чоловік,16.02.1953,Маркетолог,селище Новоселиця,"шосе Тимірязєва 5-й, буд. 27 кв. 4, Іловайськ, 31605",+380 14 114 94 49,mamchurvioletta@example.net
Колодуб,Амалія,Йосипівна,Жінка,19.10.1993,Слідчий,селище Кагарлик,"набережна Сосюри, буд. 12 кв. 77, Костопіль, 04153",+380 (86) 347-81-82,hfartushniak@example.org
Петлюра,Любов,Сергіївна,Жінка,27.08.1943,Редактор,селище Березівка,"площа Нафтовиків 3-й, буд. 4 кв. 4, Шпола, 05090",048 813-43-84,huziiievhen@example.net
Лаба,Ярослава,Захарівна,Жінка,24.10.1964,Етнограф,місто Сміла,"площа Ветеранів праці, буд. 25, Хоростків, 21340",+380 41 578 11 91,dashenkoada@example.com
Жаліло,Макар,Володимирович,Чоловік,20.04.1943,Бізнесмен,село Запоріжжя,"вулиця Сімферопольська, буд. 032 кв. 428, Почаїв, 52238",+380 27 628-99-42,nazarsachenko@example.net
Демʼянюк,Едуард,Несторович,Чоловік,19.05.2001,Електротехнік,місто Авдіївка,"площа Шевченка парк, буд. 65 кв. 2, Бобровиця, 39808",476 30 25,emiliia92@example.com
Барабаш,Єлисавета,Арсенівна,Жінка,14.10.1971,Провізор,селище Кременчук,"парк Рівності, буд. 95 кв. 8, Охтирка, 18883",093 067-88-55,kyrylo07@example.org
